entidad,tipo_entidad
Belton,página de desambiguación de Wikimedia
Santiago de Querétaro,ciudad
juez,propiedad de Wikidata relacionada con el derecho y la justicia
Ciudad Madero,localidad de México
Catazajá,localidad de México
Celaya,localidad de México
actor de cine,profesión
Tepic,ciudad
Veracruz,ciudad
Basilea,ciudad
Irapuato,ciudad
Victoria de Durango,localidad de México
Kandern,municipio urbano de Alemania
empresario,ocupación
San Pedro,ciudad
Eloxochitlán de Flores Magón,localidad de México
Guatemala,país
Los Gatos,town in California
guionista de cine,profesión
Halle,ciudad
profesor universitario,profesión académica
Gdansk,ciudad
Matanzas,ciudad
La Paz,ciudad
polista,deportista
Córdoba,municipio
Carlos Fuentes,ser humano
Francisco Lagos Cházaro,ser humano
Roque González Garza,ser humano
Porfirio Díaz,ser humano
Víctor Hugo Lojero,ser humano
Norberto Rivera Carrera,ser humano
Mariana Bayón,ser humano
Lucas Barrios,ser humano
Martín Galván,ser humano
José Milla y Vidaurre,ser humano
Salvador Contreras,ser humano
Luis Fernando Macías,página de desambiguación de Wikimedia
Gregorio López y Fuentes,ser humano
Andrés Espinosa Pérez,ser humano
Julio Estrada,ser humano
David Alfaro Siqueiros,ser humano
Gustavo DíazOrdaz,ser humano
Carlos Salinas de Gortari,ser humano
Egidio Arévalo Ríos,ser humano
Paul Aguilar,ser humano
Efraín Juárez,ser humano
Sebastián Lerdo de Tejada,ser humano
Pável Pardo,ser humano
Luis Echeverría,ser humano
Místico,ser humano
Abraham Laboriel,ser humano
Abel Barrera Hernández,ser humano
Bora Milutinović,ser humano
Abel Salazar,ser humano
Andrés Manuel López Obrador,ser humano
Juan Ramón de la Fuente,ser humano
César Millán,ser humano
José Ramón Narro Robles,ser humano
Rosario Green,ser humano
Javier Lozano Barragán,ser humano
Belem Guerrero Méndez,ser humano
Tania Morales,ser humano
Juan Carreño Sandoval,ser humano
Javier Hernández Balcázar,ser humano
Princesa Blanca,ser humano
Zayda Peña Arjona,ser humano
Anahí,ser humano
Israel López,ser humano
Adalberto Almeida y Merino,ser humano
Adalberto López,ser humano
Adalberto Madero,ser humano
Adalberto Tejeda Olivares,ser humano
Max Aub,ser humano
Silvia Pinal,ser humano
Ricardo Montalbán,ser humano
José Rolón,ser humano
Guido Pizarro,ser humano
Adolfo López Mateos,ser humano
Vicente T. Mendoza,ser humano
Javier Barros Sierra,ser humano
Carlos Chávez,ser humano
Luis de la Fuente y Hoyos,ser humano
Jorge Carpizo McGregor,ser humano
Ricardo Osorio,ser humano
