entidad	instancia_de	subclase_de
Leonardo Padura Fuentes	ser humano	
Jorge Aguilera	ser humano	
Daisy Fuentes	ser humano	
Alba de Céspedes y Bertini	ser humano	
Fulgencia Romay	ser humano	
Leo Brouwer	ser humano	
Ramón Grau San Martín	ser humano	
Ramón Fonst	ser humano	
Lisandra Guerra	ser humano	
Yumari González	ser humano	
Marlene Elejarde	ser humano	
Lydia Cabrera	ser humano	
Leandro Peñalver	ser humano	
Rubén González	página de desambiguación de nombres humanos	
Misleydis González	ser humano	
Emilio Ballagas	ser humano	
Francisco Aguabella	ser humano	
Yurisel Laborde	ser humano	
Mijaín López Núñez	ser humano	
El hombre que amaba a los perros	obra literaria	
Frank País	ciudad, municipio de Cuba	
Clase Nimitz	clase naval	portaaviones
America's Funniest Home Videos	serie de televisión	
Roma	metrópoli, comuna de Italia, ciudad fronteriza, ciudad universitaria, destino turístico, gran ciudad, antigua comuna italiana, ciudad más grande, capital nacional	
Escuela Juilliard	conservatorio de música, escuela de arte dramático, institución educativa privada sin fines de lucro	
La Palma	entidad territorial administrativa, isla volcánica	
Escuela del Louvre	institución educativa universitaria, academia de bellas artes, Gran Escuela, editor de acceso abierto	
Universidad de California en Los Ángeles	universidad, organización, campus, institución educativa pública de los Estados Unidos, universidad pública de investigación	
Santana	página de desambiguación de Wikimedia	
Herradura		calzado, amuleto de la suerte
Gerona	municipio de Cataluña	
violinista	cargo, ocupación, profesión musical	instrumentalista
Xavier Cugat y su Orquestra	grupo musical	
Ileana Ros-Lehtinen	ser humano	
Silvia Chivás	ser humano	
Laura Pollán	ser humano	
Silvia Costa	ser humano	
Sonia Bisset	ser humano	
Yanet Bermoy Acosta	ser humano	
María Conchita Alonso	ser humano	
Daimí Pernía	ser humano	
Fidel Castro	ser humano	
Leonel Suárez	ser humano	
Che Guevara	ser humano	
Yarisley Silva	ser humano	
Dayron Robles	ser humano	
Addys D'Mercedes	ser humano	
Yamilé Aldama	ser humano	
Fulgencio Batista	ser humano	
José Ignacio Rivero	ser humano	
José Guerra	ser humano	
Luis Alberto Pérez-Rionda	ser humano	
Yumilka Ruíz	ser humano	
miembro de la Cámara de Representantes de los Estados Unidos	cargo	legislador, cargo elegido
Manzanillo	ciudad, municipio de Cuba, gran ciudad	
Medalla de Servicio por la Democracia	distinción	
Palma Soriano	ciudad, municipio de Cuba	
Movimiento 26 de Julio	organización política	
Rosario	municipio de Filipinas	
guerrillero	ocupación	rango militar, militante de la resistencia, combatiente, soldado
Universidad de Buenos Aires	universidad pública, editor de acceso abierto	
La guerra de guerrillas	obra literaria	
saltador de pértiga	profesión	atleta
vallista	profesión	atleta
Moa	ciudad, municipio de Cuba	
Gran Cruz, clase especial, del Mérito de La República Federal de Alemania	special class, grado de una orden	collar
periodista	profesión, cargo, ocupación, grupo de ocupaciones de la CIUO	autor, profesional de medios, ocupación mediática, authors, journalists and linguists
Diario de la Marina	diario	
Premio María Moors Cabot	premio de periodismo	
Comité Olímpico Internacional	organización no gubernamental, organización sin fines de lucro, federación deportiva internacional	
César Évora Diaz	ser humano	
Pedro Moreno	ser humano	
Jorge Luis González	ser humano	
Yoandri Betanzos	ser humano	
Salvador Cisneros Betancourt	ser humano	
Erislandy Lara	ser humano	
Cirilo Villaverde	ser humano	
Pedro Ampudia	ser humano	
William Vivanco	ser humano	
Lisandro Otero	ser humano	
José Tapia	ser humano	
Cándido Maya	ser humano	
Enrique Labrador Ruiz	ser humano	
Aylín Mújica	ser humano	
Willy Chirino	ser humano	
Esteban Salas Castro	ser humano	
Carlos M. Gutiérrez	ser humano	
Carlos Juan Finlay	ser humano	
Arnaldo Mesa	ser humano	
Raúl Rivero	ser humano	
modelo	propiedad de Wikidata relacionada con la fotografía, Wikidata property to identify contributors to creative works	
Instituto Superior Politécnico José Antonio Echeverría	universidad pública, instituto superior, universidad de investigación, editor de acceso abierto, instituto superior politécnico	
McDonald's	organización, marca registrada, empresa de capital abierto, negocio, cadena de restaurantes de comida rápida	
Ciego de Ávila	ciudad, municipio de Cuba, gran ciudad	
Gobernantes de Nuevo León	cargo público	gobernador de estado de México
cantautor	ocupación, profesión musical	cantante, compositor de canciones
Vigo	municipio de Galicia	
Consolación del Sur	asentamiento, municipio de Cuba	
Salsa Giants	grupo musical	
Instituto Tecnológico y de Estudios Superiores de Monterrey	escuela secundaria superior, universidad privada, universidad de investigación, institución educativa privada sin fines de lucro, editor de acceso abierto	
Secretario de Comercio de los Estados Unidos	cargo	ministro de Comercio
Universidad Thomas Jefferson	universidad, institución educativa privada sin fines de lucro	
Orden Nacional de la Legión de Honor	orden estatal	
Morón	página de desambiguación de Wikimedia	
Yordany Álvarez	ser humano	
Juan Miguel Miranda Ramírez	ser humano	
Aureliano Sánchez Arango	ser humano	
Jorge Bolet	ser humano	
Roberto Mañalich	ser humano	
Juan Tuñas	ser humano	
Bebo Valdés	ser humano	
Benny Paret	ser humano	
Bernard Barker	ser humano	
Livia Brito	ser humano	
Julio Fis	ser humano	
Sixto Soria Savigne	ser humano	
Emilio Estefan	ser humano	
Miguelito Valdés	ser humano	
Yosniel Mesa	ser humano	
Mario García Menocal,	ser humano	
Miguel Mariano Gómez	ser humano	
Carlos Mendieta	ser humano	
Carlos Hevia	ser humano	
Alfredo Zayas y Alfonso	ser humano	
futbolista	profesión, ocupación	jugador competitivo, person associated with football, Jugador de fútbol
Instituto de Música Curtis	conservatorio de música, academia de música, institución educativa privada sin fines de lucro	
Premios Grammy	premio de música, ceremonia anual de premios musicales, grupo de premios	premio de música
balonmanista	profesión	deportista, jugador competitivo
productor discográfico	profesión musical	músico, productor
International Latin Music Hall of Fame	distinción	
Universidad Cornell	Universidad de concesión de tierras, universidad privada, sun grant institution, universidad de investigación, institución educativa privada sin fines de lucro	
Vueltas	asentamiento	
Academia Naval de los Estados Unidos	observatorio, lugar designado por el censo en los Estados Unidos, academia naval, institución educativa pública de los Estados Unidos	
Gran Cruz de la Orden de Isabel la Católica	grado de una orden	Gran Cruz
Annia Hatch	ser humano	
Connie Marrero	ser humano	
José A. Barnet y Vinageras	ser humano	
Charles Edward Magoon	ser humano	
Bola de Nieve	ser humano	
Boris Goldenberg	ser humano	
Héctor Vinent	ser humano	
Juan Carlos Lemus	ser humano	
Julio César la Cruz	ser humano	
Chucho Valdés	ser humano	
Guillermo Portabales	ser humano	
Celso Golmayo de la Torriente	ser humano	
José Monteagudo	ser humano	
Yuniesky Quezada	ser humano	
Jorge Gutiérrez	ser humano	
José Miró Cardona	ser humano	
René Portocarrero	ser humano	
Hermano León	ser humano	
Driulis González Morales	ser humano	
