entidad	instancia_de	subclase_de
Luis Henríquez	ser humano	
Marcos Sánchez	ser humano	
Tristán Solarte	ser humano	
Roberto Vásquez	ser humano	
Sheldry Sáez	ser humano	
Juan Huertas	ser humano	
Roberto Arias	ser humano	
Armando Cooper	ser humano	
Pedro Alcázar	ser humano	
Luis Gabriel Rentería	ser humano	
Pamplona	municipio de España	
Universidad de Zaragoza	universidad, universidad pública, editor de acceso abierto	
presidente	propiedad de Wikidata para elementos sobre organizaciones	
Peña Blanca	lugar designado por el censo en los Estados Unidos, comunidad no incorporada en los Estados Unidos	
administrador apostólico	cargo, cargo eclesiástico	sacerdote católico, administrador, prelado territorial, cabeza de una diócesis
Buenos Aires	entidad territorial administrativa, circunscripción electoral, capital federal, distrito federal, ciudad autónoma, ciudad principal, gran ciudad, ciudad de Argentina, división administrativa de primer nivel, ciudad más grande, capital nacional	
Facultad de Ciencias Médicas, Universidad de Buenos Aires	facultad universitaria, institución educativa	
diputado de Argentina	cargo, ocupación	diputado
Soná	Distritos de Panamá	
Universidad de Costa Rica	universidad, editor de acceso abierto	
Academia Panameña de la Lengua	academia	
Saint John's College	college de la Universidad de Cambridge, edificio universitario	
Argentina	país, nación, república federal, estado soberano, estado confesional	
Alberto Blanco	ser humano	
Nahil Carroll	ser humano	
Nicanor de Obarrio	ser humano	
Paul Cordero	ser humano	
Bandera de Panamá	bandera nacional	
Pedro Bejarano Palacios	ser humano	
Irene Núñez	ser humano	
Irving Berry	ser humano	
Porfirio Meléndez	ser humano	
Ismael Ortiz	ser humano	
Pércival Piggott	ser humano	
Rafael Aizpuru	ser humano	
Iván Murrell	ser humano	
Ivette Cordovez	ser humano	
Ramón Fonseca Mora	ser humano	
Ramón H. Jurado	ser humano	
Reggie Arosemena	ser humano	
Reina Torres de Araúz	ser humano	
Reynaldo Anderson	ser humano	
Ricardo Arango	ser humano	
Ricardo Buitrago	ser humano	
Rigoman	ser humano	
Roberto Chen	ser humano	
Roberto Fernández Iglesias	ser humano	
Roberto Pérez-Franco	ser humano	
Río Chorcha	arroyo	
Costa Rica	país, estado soberano	
cacique	cargo, ocupación	político, jefe tribal
diputado	cargo público, designación profesional	parlamentario, legislador
Universidad Drury	universidad, institución educativa privada sin fines de lucro	
Conferencia de las Naciones Unidas sobre Comercio y Desarrollo	organización de las Naciones Unidas	
antropólogo	profesión	científico social
Facultad de Filosofía y Letras (UBA)	facultad universitaria, facultad de filosofía	
Instituto Tecnológico de Massachusetts	universidad, universidad técnica, instituto tecnológico, space grant institution, institución educativa privada sin fines de lucro, editorial académica	
"Premio Nacional de Cuento ""José María Sánchez"""	distinción	
Rodolfo Caicedo	ser humano	
Jacinto Vásquez	ser humano	
Rolando Frazer	ser humano	
