entidad	instancia_de	subclase_de
Croacia	página de desambiguación de Wikimedia	
Universidad de Oxford	institución educativa universitaria, universidad pública, universidad colegiada, organización educativa, asociación caritativa exenta	
Universidad Harvard	universidad privada, Colegios coloniales, universidad de investigación, institución educativa privada sin fines de lucro	
Zorritos	ciudad, balneario, ciudad balneario	
Jaén	municipio de España	
banquero	profesión, ocupación	empresario, bank employee
oficial militar	rango militar, profesión militar	militar, oficial
Gran Cruz del Mérito Militar con distintivo blanco	grado de una orden	Gran Cruz
Luis Sánchez Moreno Lira	ser humano	
Juan Manuel Guillén	ser humano	
Manuel Márquez Sterling	ser humano	
Miguel Villalta	ser humano	
Iván Bulos	ser humano	
Luis Trujillo	ser humano	
Julio Rivera	ser humano	
Exar Rosales	ser humano	
Nicole Faverón	ser humano	
Lucha Reyes	ser humano	
Claudia Hernández	ser humano	
Edith Noeding	ser humano	
Ruth Shady	ser humano	
Lorena Blanco	ser humano	
Karina Jordán	ser humano	
Rafael Larco Hoyle	ser humano	
Betty Missiego	ser humano	
Carlos Zambrano	página de desambiguación de nombres humanos	
Gladys Tejeda	ser humano	
Hervé Kambou	ser humano	
Sociedad Sacerdotal de la Santa Cruz	instituto religioso, sindiaconía, asociación clerical pública	
gobernador regional de Arequipa	cargo	gobernador
embajador de Cuba	clase de embajadores de un país	embajador de un país
Distrito de Surco	distrito de Perú	
Universidad San Ignacio de Loyola	universidad, editor de acceso abierto	
Distrito de Lobitos	distrito de Perú	
deportista olímpico	profesión, ocupación	deportista, competidor
actor de teatro	oficio del teatro	actor, theatre maker
Teatro de la Universidad Católica	escuela de arte dramático	
bailarín de ballet	profesión	bailarín
Jauja	ciudad	
Abiyán	ciudad, asentamiento, gran ciudad, capital desaparecida	
Clorinda Matto de Turner	ser humano	
Beatriz Merino	ser humano	
Daniel Alarcón	ser humano	
Andrés de Santa Cruz	ser humano	
Ciro Alegría	ser humano	
Yehude Simon	ser humano	
Anderson Cueto	ser humano	
Vicky Peláez	ser humano	
Magaly Solier	ser humano	
Lautaro Murúa	ser humano	
Sayri Túpac	ser humano	
Hilaria Supa	ser humano	
Conchita Cintrón	ser humano	
Claudia Rivero	ser humano	
La Perricholi	ser humano	
Ornella Oettl Reyes	ser humano	
Javier Velásquez Quesquén	ser humano	
Carlos di Laura	ser humano	
María Sumire	ser humano	
Coya	entidad colectiva de población, parroquia de Asturias	
Colegio Educandas	escuela	
Búcaro Americano	revista	
Escuela de Derecho Harvard	facultad de derecho, editorial, escuela de postgrado	
Banco Mundial	institución financiera internacional, banco de desarrollo	
Opus Dei	álbum	
Academia Estadounidense de las Artes y las Ciencias	organización sin fines de lucro, sociedad erudita, editorial académica	
La Paz	metrópoli, gran ciudad, sede de gobierno	
Confederación PerúBoliviana	estado desaparecido, fusión de estados	
Protector de la Confederación PerúBoliviana		jefe del Gobierno
Distrito de Sartimbamba	distrito de Perú	
La serpiente de oro	obra literaria	
Universidad Nacional Pedro Ruiz Gallo	universidad	
Departamento de Cusco	departmento del Perú	
Huanta	provincia del Perú	
cantautor	ocupación, profesión musical	cantante, compositor de canciones
Premio Luces a la mejor actriz de televisión	categoría de un premio, television award category	premio a la mejor actriz protagonista
Tacna	ciudad, ciudad fronteriza, gran ciudad	
Anexo:Premio Cóndor de Plata al mejor actor	Premios Cóndor de Plata, premio al mejor actor protagonista	
Distrito de Huarocondo	distrito de Perú	
trabajador doméstico	profesión	personal doméstico, trabajador de cuello azul, companions and valets
Antofagasta	gran ciudad, ciudad de Chile	
torero	profesión	artista, deportista
Portugal	país, estado soberano	
Academia Militar de los Estados Unidos	academia militar, museo militar, institución educativa pública de los Estados Unidos, Direct Reporting Unit	
emprendedor	profesión, estatus legal	personalidad jurídica, economic entity
Distrito de Eten	distrito de Perú	
