entidad	instancia_de	subclase_de
ebanista	profesión, ocupación, profesión relacionada con la madera	carpintero, fabricante de muebles
Durán	ciudad	
Universidad de Especialidades Espíritu Santo	universidad	
Asamblea Nacional de Ecuador	parlamento, legislatura unicameral	
Jayro Campos	ser humano	
Germánico Pinto	ser humano	
profesor	profesión, cargo, ocupación	educador, school staff
Premio de Derechos Humanos de las Naciones Unidas	premio de derechos humanos	
funcionario	profesión, alto cargo, cargo	persona jurídica, burócrata, alto cargo, empleado público
Juan Carlos Montenegro	ser humano	
Juan León Mera	ser humano	
Juan J. Paz y Miño Cepada	ser humano	
Alberto Acosta Espinosa	ser humano	
Sixto E. Durán-Ballén	ser humano	
Paola Pérez	ser humano	
Fernando Hidalgo	ser humano	
Alejandro Carrión	ser humano	
Alberto Anrango	ser humano	
José Valencia Murillo	ser humano	
Diego Noboa	ser humano	
Lilo Linke	ser humano	
Ricardo Patiño	ser humano	
Marcos Aurelio Pérez Caicedo	ser humano	
Mario Conejo Maldonado	ser humano	
Marlon Santi	ser humano	
Luis Antonio Sánchez Armijos	ser humano	
Luis Cabrera Herrera	ser humano	
Luis Gallegos	ser humano	
Tulcán	ciudad, ciudad fronteriza	
agente de policía	profesión	peace officer
cromo	elemento químico, litófilo	alérgeno, sustancia simple
Reunión	región de Francia, territorio dependiente, departamento de ultramar francés	
Universidad de Colonia	Registrador de Internet Local, universidad pública, comprehensive university, editor de acceso abierto	
París	departamento de Francia, megaciudad, metrópoli, ciudad global, territorial collectivity of France with special status, ciudad más grande	
Instituto Tecnológico de Massachusetts	universidad, universidad técnica, instituto tecnológico, space grant institution, institución educativa privada sin fines de lucro, editorial académica	
El Universo	periódico, diario	
Universidad Autónoma Metropolitana	universidad, universidad pública, centro de investigación, editor de acceso abierto	
Organización Internacional del Trabajo	organización internacional, agencia de la ONU	
Daule	ciudad	
Pontificia Universidad de la Santa Cruz	universidad pontificia	
sociólogo	profesión, ocupación	científico social
Olmedo	comuna de Italia	
Universidad Pontificia Salesiana	seminario, universidad pontificia	
Azogues	ciudad	
administrador apostólico	cargo, cargo eclesiástico	sacerdote católico, administrador, prelado territorial, cabeza de una diócesis
Escuela de Derecho y Diplomacia Fletcher	universidad, facultad de derecho	
Gran Colombia	estado desaparecido	
Henry León	ser humano	
Alfredo Pareja Díez Canseco	ser humano	
Alfredo Vera Vera	ser humano	
Ana Galarza	ser humano	
Andrea Suárez	ser humano	
Luis Gómez Albán	ser humano	
Diego Serrano	ser humano	
Guillermo Lasso	ser humano	
Walter Chalá	ser humano	
Víctor Estupiñán	ser humano	
Pedro Moncayo	ser humano	
Dalo Bucaram	ser humano	
Juan de Salinas y Zenitagoya	ser humano	
Adalberto Ortiz	ser humano	
Adrián Bone	ser humano	
Alberto Jurado	ser humano	
Alejandro Serrano Aguilar	ser humano	
Alejo Lascano Bahamonde	ser humano	
Alex Bolaños	ser humano	
Alex Cevallos	ser humano	
Alex Jimbo Viteri	ser humano	
Las tres ratas	obra literaria	
Asambleísta de Ecuador	cargo elegido	parlamentario
escultor	profesión artística	artesano, artista visual, artista plástico
actor de televisión	profesión	actor
Instituto de los Hermanos de las Escuelas Cristianas	organización, instituto religioso	
Banco Guayaquil	banco	
Valle del Chota	asentamiento	
Universidad de Salamanca	universidad pública, editor de acceso abierto	
Sangolquí	ciudad	
Juyungo	obra literaria	
Universidad de Cuenca	universidad, editor de acceso abierto	
Vicepresidente del Ecuador	cargo público	vicepresidente
cirujano	grado académico, especialidad, cargo, disciplina académica, profesión medicina	médico especialista
Milagro	página de desambiguación de Wikimedia	
violinista	cargo, ocupación, profesión musical	instrumentalista
Andrés Pellacini	ser humano	
Agustín Barreiro	ser humano	
Raúl Patiño	ser humano	
René Ramírez Gallegos	ser humano	
Mónica Sarmiento	ser humano	
Eder Palacios	ser humano	
Juan Carlos Riofrío Martínez-Villalba	ser humano	
Mauricio Rodas	ser humano	
Ronny Santos	ser humano	
Julio Burbano Aguirre	ser humano	
Paúl Plaza	ser humano	
María Paula Romo	ser humano	
Jefferson Sierra	ser humano	
Lourdes Tibán	ser humano	
Franco Romero	ser humano	
Cristina Reyes	ser humano	
Erick Torres Velasco	ser humano	
Nilo Valencia	ser humano	
Elias Vergara	ser humano	
Oswaldo Segura	ser humano	
artista	ocupación, profesión artística	creador
Universidad Complutense de Madrid	universidad pública	
Universidad Hofstra	universidad privada, institución educativa privada sin fines de lucro	
Tosagua	ciudad	
filósofo político	profesión	filósofo
Universidad de Pensilvania	universidad privada, Colegios coloniales, universidad de investigación, institución educativa privada sin fines de lucro	
Cantón Pichincha	cantón de Ecuador	
escuela primaria	etapa educativa, tipo de institución educativa	escuela, institución educativa
Universidad Internacional del Ecuador	universidad	
San Miguel de Salcedo	ciudad	
Confederación de Nacionalidades Indígenas del Ecuador	organización no gubernamental, organización paraguas, organización social	
Piñas	barrio de Puerto Rico	
Cantón San Lorenzo	cantón de Ecuador	
